,0
Fe (%),<gurobi.Var C30 (value 0.0)>
Al2O3 (%),<gurobi.Var C31 (value 0.0)>
P (%),<gurobi.Var C32 (value 0.0)>
PPC (%),<gurobi.Var C33 (value 617.2000000000096)>
He (%),<gurobi.Var C34 (value 19.99999999990905)>
