,0
Fe (%),<gurobi.Var C35 (value 820.1999999999407)>
Al2O3 (%),<gurobi.Var C36 (value 0.699999999999136)>
P (%),<gurobi.Var C37 (value 0.029999999999969162)>
PPC (%),<gurobi.Var C38 (value 0.0)>
He (%),<gurobi.Var C39 (value 0.0)>
