Pilha,Quantidade Coletada
Pilha 1, 880.0
Pilha 2,0.0
Pilha 3,0.0
Pilha 4,900.0
Pilha 5,0.0
Pilha 6,0.0
Pilha 7,790.0
Pilha 8,0.0
Pilha 9,1780.0
Pilha 10,0.0
Pilha 11,500.0
Pilha 12,500.0
Pilha 13,650.0
Pilha 14,0.0
Pilha 15,0.0
